Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Q,S,AgeFare
0,3,1,22.0,1,0,7.25,0,1,159.5
1,1,0,38.0,1,0,71.2833,0,0,2708.7653999999998
1,3,0,26.0,0,0,7.925,0,1,206.04999999999998
1,1,0,35.0,1,0,53.1,0,1,1858.5
0,3,1,35.0,0,0,8.05,0,1,281.75
0,3,1,25.14061971830986,0,0,8.4583,1,0,212.6469037633803
0,1,1,54.0,0,0,51.8625,0,1,2800.575
0,3,1,2.0,3,1,21.075,0,1,42.15
1,3,0,27.0,0,2,11.1333,0,1,300.5991
1,2,0,14.0,1,0,30.0708,0,0,420.9912
1,3,0,4.0,1,1,16.7,0,1,66.8
1,1,0,58.0,0,0,26.55,0,1,1539.9
0,3,1,20.0,0,0,8.05,0,1,161.0
0,3,1,39.0,1,5,31.275,0,1,1219.725
0,3,0,14.0,0,0,7.8542,0,1,109.9588
1,2,0,55.0,0,0,16.0,0,1,880.0
0,3,1,2.0,4,1,29.125,1,0,58.25
1,2,1,29.87763005780347,0,0,13.0,0,1,388.40919075144507
0,3,0,31.0,1,0,18.0,0,1,558.0
1,3,0,25.14061971830986,0,0,7.225,0,0,181.64097746478873
0,2,1,35.0,0,0,26.0,0,1,910.0
1,2,1,34.0,0,0,13.0,0,1,442.0
1,3,0,15.0,0,0,8.0292,1,0,120.43799999999999
1,1,1,28.0,0,0,35.5,0,1,994.0
0,3,0,8.0,3,1,21.075,0,1,168.6
1,3,0,38.0,1,5,31.3875,0,1,1192.725
0,3,1,25.14061971830986,0,0,7.225,0,0,181.64097746478873
0,1,1,19.0,3,2,263.0,0,1,4997.0
1,3,0,25.14061971830986,0,0,7.8792,1,0,198.08797088450706
0,3,1,25.14061971830986,0,0,7.8958,0,1,198.505305171831
0,1,1,40.0,0,0,27.7208,0,0,1108.832
1,1,0,38.233440860215055,1,0,146.5208,0,0,5601.994341591399
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,2,1,66.0,0,0,10.5,0,1,693.0
0,1,1,28.0,1,0,82.1708,0,0,2300.7824
0,1,1,42.0,1,0,52.0,0,1,2184.0
1,3,1,25.14061971830986,0,0,7.2292,0,0,181.74656806760564
0,3,1,21.0,0,0,8.05,0,1,169.05
0,3,0,18.0,2,0,18.0,0,1,324.0
1,3,0,14.0,1,0,11.2417,0,0,157.3838
0,3,0,40.0,1,0,9.475,0,1,379.0
0,2,0,27.0,1,0,21.0,0,1,567.0
0,3,1,25.14061971830986,0,0,7.8958,0,0,198.505305171831
1,2,0,3.0,1,2,41.5792,0,0,124.7376
1,3,0,19.0,0,0,7.8792,1,0,149.7048
0,3,1,25.14061971830986,0,0,8.05,0,1,202.3819887323944
0,3,1,25.14061971830986,1,0,15.5,1,0,389.67960563380285
1,3,0,25.14061971830986,0,0,7.75,1,0,194.83980281690143
0,3,1,25.14061971830986,2,0,21.6792,0,0,545.0285229971831
0,3,0,18.0,1,0,17.8,0,1,320.40000000000003
0,3,1,7.0,4,1,39.6875,0,1,277.8125
0,3,1,21.0,0,0,7.8,0,1,163.79999999999998
1,1,0,49.0,1,0,76.7292,0,0,3759.7308000000003
1,2,0,29.0,1,0,26.0,0,1,754.0
0,1,1,65.0,0,1,61.9792,0,0,4028.648
1,1,1,38.233440860215055,0,0,35.5,0,1,1357.2871505376345
1,2,0,21.0,0,0,10.5,0,1,220.5
